Task,Bolt,Sequence Step,Time (ms),Prevail Torque,Torque,Torque Units,Angle Total (deg),Angle since Threshold Torque (deg)
1,1,1,1,0,0.437,n-m,287.7363,287.7363
1,1,1,2,0,0.4484,n-m,321.9341,321.9341
1,1,1,3,0,0.4389,n-m,355.956,355.956
1,1,1,4,0,0.4522,n-m,389.8901,389.8901
1,1,1,5,0,0.4465,n-m,423.8242,423.8242
1,1,1,6,0,0.4541,n-m,457.7582,457.7582
1,1,1,7,0,0.4446,n-m,491.7802,491.7802
1,1,1,8,0,0.4522,n-m,525.7143,525.7143
1,1,1,9,0,0.456,n-m,559.8242,559.8242
1,1,1,10,0,0.4522,n-m,593.6703,593.6703
1,1,1,11,0,0.4522,n-m,627.5165,627.5165
1,1,1,12,0,0.456,n-m,661.3626,661.3626
1,1,1,13,0,0.4655,n-m,695.033,695.033
1,1,1,14,0,0.4674,n-m,728.7033,728.7033
1,1,1,15,0,0.4693,n-m,762.4615,762.4615
1,1,1,16,0,0.4769,n-m,796.3077,796.3077
1,1,1,17,0,0.475,n-m,830.2418,830.2418
1,1,1,18,0,0.4769,n-m,864.1758,864.1758
1,1,1,19,0,0.4731,n-m,898.1099,898.1099
1,1,1,20,0,0.4807,n-m,932.044,932.044
1,1,1,21,0,0.475,n-m,966.0659,966.0659
1,1,1,22,0,0.4788,n-m,1000.0,1000.0
1,1,1,23,0,0.4731,n-m,1034.1099,1034.1099
1,1,1,24,0,0.4731,n-m,1068.044,1068.044
1,1,1,25,0,0.4769,n-m,1101.978,1101.978
1,1,1,26,0,0.4807,n-m,1136.0879,1136.0879
1,1,1,27,0,0.475,n-m,1170.1099,1170.1099
1,1,1,28,0,0.4769,n-m,1204.1319,1204.1319
1,1,1,29,0,0.4731,n-m,1238.0659,1238.0659
1,1,1,30,0,0.4712,n-m,1272.0,1272.0
1,1,1,31,0,0.4693,n-m,1305.9341,1305.9341
1,1,1,32,0,0.4712,n-m,1339.8681,1339.8681
1,1,1,33,0,0.4655,n-m,1373.978,1373.978
1,1,1,34,0,0.4674,n-m,1408.0,1408.0
1,1,1,35,0,0.4674,n-m,1441.8462,1441.8462
1,1,1,36,0,0.4788,n-m,1475.7802,1475.7802
1,1,1,37,0,0.4731,n-m,1509.7143,1509.7143
1,1,1,38,0,0.4769,n-m,1543.7363,1543.7363
1,1,1,39,0,0.4636,n-m,1577.8462,1577.8462
1,1,1,40,0,0.475,n-m,1611.8681,1611.8681
1,1,1,41,0,0.4674,n-m,1645.8901,1645.8901
1,1,1,42,0,0.4693,n-m,1680.0,1680.0
1,1,1,43,0,0.4598,n-m,1714.2857,1714.2857
1,1,1,44,0,0.4693,n-m,1748.4835,1748.4835
1,1,1,45,0,0.4522,n-m,1782.6813,1782.6813
1,1,1,46,0,0.4598,n-m,1816.7912,1816.7912
1,1,1,47,0,0.4522,n-m,1850.989,1850.989
1,1,1,48,0,0.4655,n-m,1885.0989,1885.0989
1,1,1,49,0,0.456,n-m,1919.2967,1919.2967
1,1,1,50,0,0.4522,n-m,1953.4945,1953.4945
1,1,1,51,0,0.4522,n-m,1987.6923,1987.6923
1,1,1,52,0,0.4503,n-m,2021.7143,2021.7143
1,1,1,53,0,0.4389,n-m,2055.7363,2055.7363
1,1,1,54,0,0.4484,n-m,2089.8462,2089.8462
1,1,1,55,0,0.4408,n-m,2123.7802,2123.7802
1,1,1,56,0,0.4389,n-m,2157.8022,2157.8022
1,1,1,57,0,0.4389,n-m,2191.6484,2191.6484
1,1,1,58,0,0.4389,n-m,2225.6703,2225.6703
1,1,1,59,0,0.4389,n-m,2259.7802,2259.7802
1,1,1,60,0,0.4332,n-m,2293.8901,2293.8901
1,1,1,61,0,0.4275,n-m,2328.0879,2328.0879
1,1,1,62,0,0.4313,n-m,2362.1978,2362.1978
1,1,1,63,0,0.4275,n-m,2396.4835,2396.4835
1,1,1,64,0,0.4275,n-m,2430.6813,2430.6813
1,1,1,65,0,0.4218,n-m,2465.1429,2465.1429
1,1,1,66,0,0.418,n-m,2499.5165,2499.5165
1,1,1,67,0,0.4161,n-m,2533.7143,2533.7143
1,1,1,68,0,0.4123,n-m,2568.1758,2568.1758
1,1,1,69,0,0.4085,n-m,2602.3736,2602.3736
1,1,1,70,0,0.4066,n-m,2636.7473,2636.7473
1,1,1,71,0,0.4066,n-m,2670.8571,2670.8571
1,1,1,72,0,0.4066,n-m,2704.967,2704.967
1,1,1,73,0,0.3933,n-m,2739.0769,2739.0769
1,1,1,74,0,0.4028,n-m,2773.1868,2773.1868
1,1,1,75,0,0.399,n-m,2807.3846,2807.3846
1,1,1,76,0,0.3971,n-m,2841.5824,2841.5824
1,1,1,77,0,0.3933,n-m,2875.8681,2875.8681
1,1,1,78,0,0.399,n-m,2909.8901,2909.8901
1,1,1,79,0,0.3971,n-m,2943.9121,2943.9121
1,1,1,80,0,0.4009,n-m,2977.8462,2977.8462
1,1,1,81,0,0.3971,n-m,3011.8681,3011.8681
1,1,1,82,0,0.4028,n-m,3045.8901,3045.8901
